abbreviation,context,expanded_abbreviation,base_abbreviation,tokenized_input,tokenized_target
s.,"Drugi Verstappen (Red Bull) miał 0,319 s straty, trzeci Vettel (Ferrari) - 0,613 <mask> To 79. w karierze pole position Brytyjczyka, który śrubuje własny rekord.  Hamilton",Vip.,Vip.,"tensor([[ 31478,    266,   1598,  63547,    274,  22122,  25395,    271,    259,
          29908,  67242,   1666,    259,    263,  39917,    276,    261,    534,
          96295,    434,  37889,    274, 190037,    271,    259,    264,  71636,
           1579,   1042,  55114,    669,    926,  10593,    260,    414,  93955,
           1043,   8979,  13446,  44591,   1421, 210787,    262,    261,    259,
           1743,    276, 220840,   6285,   1466,  12167,    263,    680,  35926,
            260,  49682,      1]])","tensor([[87406,   260,     1]])"
pył.,czwartek na Warmii i Mazurach można obserwować efektowne zimowe zjawisko - diamentowy <mask> To tańczące w powietrzu i skrzące się w słońcu kryształki lodu. Jak powiedział,angielskiego,angielski,"tensor([[   317,  72145,    592,    294,  48823,    266,    266,    259,    266,
         153593,  28614,    259,   4123,    377,    259,  98936,   6592,  23866,
         216439,  21553,   3407,    259,  74175, 184201,    259,    264,    301,
           2666,   6766,   1042,  55114,    669,    926,    259,  89912,  49410,
            265,    414,    259,  80030,    273,    259,    266,  28689, 194121,
            947,    414, 101764,  27274,    273,  19559, 199416,    650,    707,
           1176,    260,   5588,    259,  58942,      1]])","tensor([[  259, 92373,  1796,     1]])"
zły.,"byłoby się utożsamić. Ale ich charaktery są czytelne. Dobry jest dobry, a zły jest <mask> Akcja jest wartka i nie brakuje humoru. Jessica Biel, Susan Sarandon, Hilary Swank",uda.,uda.,"tensor([[   455,  84018,    947,    259,   6399,   1610,   5458,   7155,    260,
           7063,   1356,  28606,    276,   3395,   5598,   2366,    405,    260,
          27025,    276,   1402,    259,  67806,    261,    259,    262,   4932,
            276,   1402,   1042,  55114,    669,    298, 101193,   1402,   2381,
          19560,    259,    266,    716,  31610,   1466,  27741,    273,    260,
            259,  47153,  70810,    261,  31300, 113101,   5452,    261,  26328,
           3137,  69009,    314,      1]])","tensor([[ 259, 6960,  260,    1]])"
ś.,"- Garbarnia II (ś. 16)  Klasa A, grupa IV Myślenice:  Tempo Rzeszotary - Rudnik (<mask> 16)  Cracovia - Sandecja (ś. 16), Garbarnia - Okocimski (ś. 16), Górnik Wieliczka",siostra,siostra,"tensor([[   259,    264, 102901, 148316,   2052,    274,   3376,    260,    799,
            271,  77013,    262,    298,    261,   4958,    262,   7205,   2368,
         107796,   5717,    267,  45646,    259, 213506,   1460,   3137,    259,
            264,  29951,   2633,    274,   2709,  55114,    669,    799,    271,
          47121, 129374,    259,    264,   9016,    265,  12465,    274,   3376,
            260,    799,    506, 102901, 148316,    259,    264, 152548,  57531,
           2764,    274,   3376,    260,    799,    506,  61936,   2633,  84689,
            266,  90009,      1]])","tensor([[  395, 74671,     1]])"
s.,"lingwistyka”?  25.06, sobota, 11.45-13.45, 4.1.2. Literatura polska tworzona poza krajem, <mask> 3.48 Przemysław Chojnowski: Życie w „pomiędzy”. Liminalność w twórczości Piotra",panu,pan,"tensor([[   259,   2309,  53418,  55434,  71930,   9546,  84412,    259,  41784,
            262,    261,    333, 124763,   2810, 180799,    261, 150811,   3892,
            259,  96370,    259, 129894,    259,  55456,   1934,  37227,   8020,
            470,    261,   1042,  55114,    669,    259, 214693,    363, 151923,
            262,    481,   1536,   5180,  37673,    267,  77132,   3352,    414,
            565,   1331,  94044,   1476,   1519,   1351, 116541,    414,    259,
         151004,   5727,  65124,    262,      1]])","tensor([[92526,     1]])"
mwk.,") oszczędności: ok. 64 tys. zł (w złotówkach, dolarach i euro) nieruchomości: dom 100 <mask> - ok. 200 tys. zł (współwłasność w 1/2), nieużytek 10 a - ok. 2 tys. zł, działka",HDi.,HDi.,"tensor([[   259,    271,    259, 106836,  14068,    267,   5412,    260,   5464,
          72632,    260,   4932,    274,    481,   4932, 151254,  16267,    261,
          27470,   1483,    259,    266,   3789,    271,  82269,    267,   7549,
            966,   1042,  55114,    669,    259,    264,   5412,    260,   1950,
          72632,    260,   4932,    274,    481,  35268,    481,   4005,    263,
          18603,    414,  13943,    506,    716,    273,   5318,   2901,    475,
            259,    262,    259,    264,   5412,    260,    356,  72632,    260,
           4932,    261,  54299,    479,      1]])","tensor([[3399,  266,  260,    1]])"
b.,"Niestety, Proxima c nie jest tak przyjazna dobrze znanemu nam życiu jak Proxima <mask> Ta pierwsza orbituje one dość daleko od swojej macierzystej gwiazdy, więc na powierzchni",litr,litr,"tensor([[  2106,  51004,    261,   1408,  44009,    317,    716,   1402,    756,
         159508,  16840,    331,  53956,  33995,  22790,   2135,  23106,    273,
           1801,   1408,  44009,   1042,  55114,    669,   1739,  13615,    262,
         112369,   1466,   1371,    331,   5580,    350,  53839,    682,   7828,
          24350,    259, 133415, 128282,   1057,    259,  95491,    276,    261,
            259,  19752,    294,    421,  60564,      1]])","tensor([[36300,     1]])"
is.,"Aaron “Jay” Danielson. Do your job, and do it fast. Everybody knows who this thug <mask> No wonder Portland is going to hell! @TheJusticeDept @FBI",metrów,metr,"tensor([[   259,  64893,    359, 162316,    365,   7330,   1682,    260,   1272,
            772,   8185,    261,    305,    342,    609,   4756,    260,    415,
         111962,   3076,    263,   1866,    714,    259, 178113,   1042,  55114,
            669,    653,  29100,  66371,    339,    259,   5846,    288,  42629,
            309,   1250,   2009,  52514, 139460,   1250,  81742,      1]])","tensor([[  824, 64058,     1]])"
RiP.,"lubiana Aktorka. Miała 87 lat. Droga Pani Katarzyno, będzie nam Pani brakowało. <mask> — Andrzej Duda (@AndrzejDuda) December 7, 2020 Aktorka miała na swoim koncie wiele",godzinę,godzina,"tensor([[  2919,  19743,    298,   1914,    479,    260,    352, 106643,  12079,
            283,    270,    260,  78242,    262,  35107,  96130,   2938,    505,
            261,    330,   6324,   2135,  35107,  31610, 108680,    260,   1042,
          55114,    669,    661,    259,  78805,   1231,    407,  15357,  78805,
            403,   6960,    271,   4523,   6469,    972,    298,   1914,    479,
            259,  29908,    262,    294,   7828,    780,    259,  82828,    265,
            259,  25791,      1]])","tensor([[29324,  1241,     1]])"
g.,"ogni g. 22.30 - zabawa taneczna pod gwiazdami  21.06, NIEDZIELA stadion miejski <mask> 9.00 - turniej piłkarski dla dzieci przygotowany przez Start Namysłów  świetlica",ojca,ojciec,"tensor([[   259,  10600,    259,    318,    260,   8334,   1249,    259,    264,
          54941,    262,  71947,  77701,   1012,    259,  95491,   1708,   7328,
          84412,  95979, 113639,   8993,  63021,    326, 190955,   1042,  55114,
            669,  78302,    259,    264,   3567,  23518,    259,  99961,    314,
          85239,   2506,  17196,  40092,    680,   3715,   8970,    727,  71749,
           1174,    259, 142185,   3351,      1]])","tensor([[ 259, 1171,  750,    1]])"
ja.,Cantores Opolienses”. - To wspólne śpiewanie daje pewność: Inni robią to samo co <mask> Czasem młodzież odbiera to trochę jak obciach. Bo jest tyle ciekawszych rzeczy niż,a.,a.,"tensor([[  4016,  29559,    443,  25439,  47938,   1476,    259,    264,    926,
          54557,  34477,    259, 155786,   6330,    259,  20308,    603, 125849,
            267,   4154,    266,  17738,    761,    288,   6628,    964,   1042,
          55114,    669,  80844,   6524,    326,  89679,   1610,    682,  53435,
            288,    259,  18415,   1241,   1801,    999, 130441,    260,   3417,
           1402,    259,  62114,  41805,  13117,    259,  71892,    259,  12729,
              1]])","tensor([[259, 262, 260,   1]])"
o.,"1980 roku - poinformował dyrektor Europejskiego Centrum Solidarności, dominikanin <mask> Maciej Zięba.  Jak zapowiedział o. Zięba, w rocznicowych uroczystościach w Stoczni",ulica,ulica,"tensor([[ 17522,   4351,    259,    264,    485,  34990,  23126,  62693,   1914,
           3970, 108697,  40144, 135106,  14068,    261, 105828,  73730,   1042,
          55114,    669,   4349,  12476,   9879, 103151,    262,    260,   5588,
            466,  58942,    259,    268,    260,   9879, 103151,    262,    261,
            414,    259,  92025,   2161,   4579,    259,  11235,  60628, 180466,
            414,  17844,  80007,      1]])","tensor([[  259, 93465,     1]])"
o.,"1980 roku - poinformował dyrektor Europejskiego Centrum Solidarności, dominikanin <mask> Maciej Zięba.  Jak zapowiedział o. Zięba, w rocznicowych uroczystościach w Stoczni",tysięcy ton.  Około,tysiąc ton.  około,"tensor([[ 17522,   4351,    259,    264,    485,  34990,  23126,  62693,   1914,
           3970, 108697,  40144, 135106,  14068,    261, 105828,  73730,   1042,
          55114,    669,   4349,  12476,   9879, 103151,    262,    260,   5588,
            466,  58942,    259,    268,    260,   9879, 103151,    262,    261,
            414,    259,  92025,   2161,   4579,    259,  11235,  60628, 180466,
            414,  17844,  80007,      1]])","tensor([[  3712, 130378,    276,   9562,    260,    443,  47680,      1]])"
k.,"kilku drabów, zabrali mu szalik z szyi, wyciągnęli z kieszeni pugilares z kwotą 15 <mask> 50 gr. i zniknęli.  Kurier Lwowski  17 stycznia 1905 Szajka złodziei okradła onegdaj",bar.,bar.,"tensor([[ 16842,    273,  82894,   1174,    261,  80899,    494,    890, 140047,
            985,    397,    259,  20092,    266,    261,   1628,  17093,  21150,
            494,    397,  66830,  55840,   1723,   1731,  44673,    397,  64888,
           7849,    670,   1042,  55114,    669,   1013,   4044,    260,    259,
            266,    259,  28153,  21150,    494,    260,  99170,    295,    259,
         115417,  37673,    911,    259,  44258,    262,  73859, 135523,  42857,
            397,  89679,    266,    259,  44264, 151423,   1371,    318,  14967,
              1]])","tensor([[2373,  260,    1]])"
h.,załoga może zabrać na pokład pięciu pasażerów. Maszyna może osiągać prędkość 246 km/<mask> Na jednym tankowaniu jest w stanie pokonać dystans 624 km'  - podał.  Podkreślił,sobota,sobota,"tensor([[   259, 103325,    743,    259,   4123,    265,  80899,   1209,    294,
            485,   8789,    259, 104836,    273,    886,  17357, 112604,    260,
           4130, 191260,    259,   4123,    265,    259,    337,  89793,   5129,
            259,  72527,    285,  60413,  67974,   1006,    275,   2709,  55114,
            669,    727,    384,  60172,  19331,  45088,   1402,    414,    259,
          32572,    259, 108674,   5129,   7730, 117127, 138530,   1006,    277,
            259,    264,   1012,  13410,    260,   4841,  24099,  34033,      1]])","tensor([[  259, 41784,   262,     1]])"
w.,"zarówno na twórczość akademicką, jak i sferę popkultury.  Zaczęło się pod koniec XIX <mask> we Francji, od Erika Satie, patrona słynnej kompozytorskiej grupy Les Six, genialnego",sobota,sobota,"tensor([[   466,  36925,    294,    259, 151004,   5580,  40952,    297,   5665,
            261,   1801,    259,    266, 111773,   1241,   9154, 124250,    260,
           1515,  31147,   4319,    947,   1012,    259,  37328,    259,  25990,
           1042,  55114,    669,    787,  17425,    976,    261,    682,    259,
         150158,    320,  20208,    261,  37405,    262,    259,    263, 161670,
           2794, 200422,    276,    476, 168745,   4958,    276,   1760,  43480,
            261,  56781,   5663,      1]])","tensor([[  259, 41784,   262,     1]])"
s.,"marcu drużyny spotkały się ponownie, przed rozpoczęciem spotkania powtórzono 51,9 <mask> Hawks ponownie wygrali, ale 114:111.",p.,p.,"tensor([[ 58937,    273,  25996,   5318,    680,    259,  53724,   4430,    947,
           8613,  99481,    261,  10723,  32230,  31147,  73014,   8796,  85462,
          42336,  97157, 103976,    430, 119454,   1042,  55114,    669,  61984,
            263,   8613,  99481,  74865,  71521,    261,   1281,  25082,    267,
          21532,      1]])","tensor([[421, 260,   1]])"
bdb.,"C330 czerwony metalic, stan db. Cena:11000zł. Ursus C330M czerwony metalic, stan <mask> 15500zł. Ford 7700 1990r. 8000MG 77KM 25000zł. Renault 8514 1986r. 7000MG MW11",sekundy,sekunda,"tensor([[   371,  27107, 108182,    276,   9258,   2161,    261,  16195,  63200,
            260,  16470,   4393,   6371,  35048,    260, 102913,    438,    371,
          27107,    511, 108182,    276,   9258,   2161,    261,  16195,   1042,
          55114,    669,    670,   4257,  35048,    260,  10241,    259, 122569,
          10478,    286,    260,  73785,  13158,   9699,  18403,    259, 120937,
          35048,    260,  30650,   6526,   1635,  20541,    286,    260,  77018,
          13158,  71374,   1003,      1]])","tensor([[25277,   276,     1]])"
b.,zmusić Francję do zablokowania kontraktu na Mistrale dla Rosji. Następnie - zdaniem <mask> prezydenta - UE powinna zamrozić całkowicie rosyjskie aktywa na Zachodzie oraz wprowadzić,pył.,pył.,"tensor([[   259, 185532,   7155,  17425,  10108,    342,    466,  55951,   8443,
          57971,    273,    294, 100248,   1781,   2506,  11268,    976,    260,
            259, 107951,    634,    259,    264,    259,  86520,    282,   1042,
          55114,    669,    259, 111956,    422,    259,    264,  32499,  17617,
           6529,  39418,  14312,   7155,    317,  91215,  80739,    259,   3720,
         128289,    265,  68285,    262,    294,   1515,  18986,    265,    259,
           3711,    414,  45951,   1209,      1]])","tensor([[   421, 105643,    260,      1]])"
s.,"- Akademia Talentów Jastrzębskiego Węgla (s. 16), Kęczanin Kęty - Volley Rybnik (<mask> 18) II liga kobiet: Wisła Kraków - San-Pajda II Jarosław (s. 19), Maraton Krzeszowice",zły.,zły.,"tensor([[   259,    264,  36469,    262,  62241,   1174,  17829,    270,  73194,
            316,  44865,    564,   1241,  28105,    274,    263,    260,    799,
            506,    412, 152324,    262,   1785,    412, 132851,    259,    264,
            259, 195497, 102671,   2633,    274,   2709,  55114,    669,    812,
            271,   2052,  30788,  32750,    267,  69143,   4005,    259,  76881,
            259,    264,   1716,    264,    559,   1030,    407,   2052,  17076,
         110688,    274,    263,    260,    963,    506,  22988,   1510,    412,
         152868, 144281,      1]])","tensor([[4932,  276,  260,    1]])"
suv.,"doszło do wypadku kilka dni temu. W zderzeniu uczestniczyły dwa samochody typu <mask> Jeden z nich jest na tablicach rejestracyjnych z powiatu tatrzańskiego, drugi na",środa,środa,"tensor([[  1298,  91404,    342,    259,  63431,    662,  16842,    262,  11635,
          18160,    260,    564,    397,   1229,  97421,    259,  55653,  75312,
            276,  37274,  40867,    276,   5863,    273,   1042,  55114,    669,
           1170,    880,    397,  10154,   1402,    294,    259, 151610,  82491,
         107059, 116193,    397,  17617,   5410,    576,  66200, 219956,    261,
            259,  30735,    294,      1]])","tensor([[21951,   262,     1]])"
b.,"Polacy rzadko wydawali ukrywających się Żydów i niemal tyle samo, że rzadko lub <mask> rzadko byli obojętni wobec Zagłady.  Sondaż przeprowadzono na reprezentatywnej próbie",sala,sala,"tensor([[ 39473,   2888,    259, 119259,    704,  14811,  20085,    259,    273,
         178641,  80185,    947,  77132,  70844,    259,    266,    716,   3130,
            259,  62114,   6628,    261,   1810,    259, 119259,    704,   2919,
           1042,  55114,    669,    259, 119259,    704,    259,  57729,    259,
         177294, 115544,    266,    414,  36451,   1515,  97619,   1582,    260,
           4483,    407,   1610,  64485,   3602,    294, 161876,    276, 128118,
          56299,    634,      1]])","tensor([[9566,    1]])"
ds. tzw.,"Były wiceminister gospodarki Adam Szejnfeld nazwał w piątek przed komisją śledczą <mask> afery hazardowej ""nieuprawnioną insynuacją"" stwierdzenie, że Ministerstwo Gospodarki",metrów kwadratowych,metr kwadratowy,"tensor([[  1794,   4430,    259,  42358,  26345,  33088,    650,  12527, 125063,
          11667,  19025,  36940,  53181,    414,    259,  86924,   2901,  10723,
          41102,   2684,  59657,    345,  37888,   1042,  55114,    669,    643,
          20099,    259,  90155,   6955,    313,   1145,    273,  95250,  78522,
            281,  14194,    273, 100238,    311,    259,    263,  75388,   2909,
            261,   1810,  14010,  40709,    259, 128345,    650,      1]])","tensor([[   824,  64058,   1257, 118419,   4579,      1]])"
n.,(n. 17)  Janina - Juventa (s. 17)  Limanovia - Naprzód (n. 15)  Lubań - Przebój (<mask> 16)  Granat - Górnik (n. 16.30)  Wierna - Unia (n. 17)  Łysica - Wierna (s. 11)  Poprad,b.,b.,"tensor([[   274,    272,    260,    911,    271,   2105,   1112,    259,    264,
         156955,    422,    274,    263,    260,    911,    271,  32402, 138099,
            259,    264,  32200,    286, 173229,    274,    272,    260,    670,
            271,  18524,  47026,    259,    264,  18885,    316,   9972,    274,
           2709,  55114,    669,    799,    271,   9123,    523,    259,    264,
          61936,   2633,    274,    272,    260,    259, 127229,    271, 177057,
            377,    259,    264,   6988,    262,    274,    272,    260,    911,
            271,  27410,    276, 115645,    259,    264, 177057,    377,    274,
            263,    260,    730,    271,  10164,   9600,      1]])","tensor([[330, 260,   1]])"
n.,(n. 17)  Janina - Juventa (s. 17)  Limanovia - Naprzód (n. 15)  Lubań - Przebój (<mask> 16)  Granat - Górnik (n. 16.30)  Wierna - Unia (n. 17)  Łysica - Wierna (s. 11)  Poprad,is.,is.,"tensor([[   274,    272,    260,    911,    271,   2105,   1112,    259,    264,
         156955,    422,    274,    263,    260,    911,    271,  32402, 138099,
            259,    264,  32200,    286, 173229,    274,    272,    260,    670,
            271,  18524,  47026,    259,    264,  18885,    316,   9972,    274,
           2709,  55114,    669,    799,    271,   9123,    523,    259,    264,
          61936,   2633,    274,    272,    260,    259, 127229,    271, 177057,
            377,    259,    264,   6988,    262,    274,    272,    260,    911,
            271,  27410,    276, 115645,    259,    264, 177057,    377,    274,
            263,    260,    730,    271,  10164,   9600,      1]])","tensor([[339, 260,   1]])"
s.,"16), Dalin Myślenice - Wierna Małogoszcz (s. 16), Janina Libiąż - Łysica Bodzentyn (<mask> 16), Poprad Muszyna - Granat Skarżysko-Kamienna (s. 16), Beskid Andrychów - Lubań",Rest in Peace,Rest in Peace,"tensor([[   799,    506,  12634,    348,   2368, 107796,   5717,    259,    264,
         177057,    377,  81600,  18621,  75549,    274,    263,    260,    799,
            506,   2105,   1112, 153354,  67414,    259,    264,  27410,    276,
         115645,  32612,   2790,  51590,    274,   2709,  55114,    669,    799,
            506,  10164,   9600,  20094, 191260,    259,    264,   9123,    523,
          89055,   5318,   3507,    264,  66951,    278,    377,    274,    263,
            260,    799,    506, 191975,    525,   1829,  92452,   1174,    259,
            264,  18524,  47026,      1]])","tensor([[37034,   281, 66903,     1]])"
o.,"Częstochowskiej, a koncelebrowało ją kilkunastu ojców paulinów na czele z generałem Zakonu <mask> Izydorem Matuszewskim. Tej Mszy św. miał przewodniczyć Kapelan Federacji Rodzin",godzina,godzina,"tensor([[   371, 194953,  46992,    261,    259,    262,   2861, 231553, 108680,
            259,   2684,  16842,    273, 199528,    259,   1171,  37851,  84255,
            348,   1174,    294,    317,  67417,    397,  15463,  16032, 104443,
           1246,   1042,  55114,    669,   8132,    276,   2287,    470, 103921,
         178764,    282,    260, 114136,    352,  20092,  76512,    260,    259,
          29908,    259, 112066,  35481, 199363,    321,  37200,   6723,  18693,
          14978,      1]])","tensor([[29324,   262,     1]])"
ś.,"Skalnik Trzemeśnia - Mogilany (ś. 17), Clavia Świątniki Górne - Cyrhla Krzczonów (<mask> 17), Zielonka Wrząsowice - Tempo Rzeszotary (ś. 17.30), Topór Tenczyn - Wróblowianka",ja.,ja.,"tensor([[ 44260,   2633,   1830,   7415,    265,  48959,    262,    259,    264,
           2546, 104581,    276,    274,   3376,    260,    911,    506, 171561,
            539,  30546,    761,    270,   9990,  61936,    405,    259,    264,
         104395,  15102,   9168,    360,  62019,  55639,    274,   2709,  55114,
            669,    911,    506,  25153, 133094,    564, 120093,    263, 144281,
            259,    264,  45646,    259, 213506,   1460,   3137,    274,   3376,
            260,    259, 118582,    506,   2694,   9354,   6175,  44397,    259,
            264,    564,  83895,  12704,    266,  14145,      1]])","tensor([[432, 260,   1]])"
w.,"Kujaw.  Pozostałe lokaty polskich osad: skiff – 10. Natan Węgrzycki – Szymczyk skiff <mask> lekkiej – 8. Miłosz Jankowski; dwójka podwójna – 13. Martyna Radosz (Bydgostia),",ojciec,ojciec,"tensor([[   412, 144669,    260,    259, 161013,  25380,   1421,  63939,   2623,
         124099,    267,  22147,   2547,    322,   3992,    727,   1955,    564,
           1241, 126680,  96766,    322,  95288,    282,  84357,  22147,   2547,
           1042,  55114,    669,  24183,  48248,    322,   4050,   1784,   4319,
           2781,   2105,  52478,    296,    331,  39574,  42857, 186981,   9972,
            377,    322,   5029, 108436,    377,  98682,   2781,    274,  16730,
            285, 132499,    262,    506,      1]])","tensor([[   259,   1171, 153848,      1]])"
Tym.,"Trójki w podcieniach Centrum Kultury Katowice, podczas której wystąpi Stanisław <mask> Aukcję poprowadzi Jacek Łapot z Kabaretu Długi. Cena wywoławcza każdego z przedmiotów",ojciec,ojciec,"tensor([[  1830,   9972,    650,    414,   1012,    769, 115792,  40144,  16382,
            276,    259, 115600,    261,   1012,  12347,    259,   1743,   1057,
           1628,  41495,  15597, 102333,   1042,  55114,    669,  87361,  30613,
            485,  45951,  93629,    592, 107657,  14248,    397, 164726,  60426,
            431, 121555,    266,    260,  16470,   1628,  82209,  24261,    745,
            259,   9223,  58096,    397,    421,  67292,   1174,      1]])","tensor([[   259,   1171, 153848,      1]])"
s.,"uchyleniu uchwały ws. emisji akcji s. N2. Podejmie uchwałę o emisji do 133,4 mln akcji <mask> P, które będą skierowane do wierzycieli będących stronami umowy restrukturyzacyjnej",koron,korona,"tensor([[   259,  73368,    280,  17860,    259,  13471, 102256,    414,    263,
            260,  62869,    976,    259,    262,  58490,    259,    263,    260,
            441,   3892,  59691, 149644,    265,    259,    273, 127582,   1241,
            259,    268,  62869,    976,    342,    849,  83675,    259,  43022,
            259,    262,  58490,   1042,  55114,    669,    363,    261,    259,
           1743,    265,    259,  14398,    761,    259, 138801,  15137,    342,
            259, 150363, 103553,    259,  14398,  56632,   9693,   1708,    673,
           4914,    584,  58081,    276,    360, 181441,      1]])","tensor([[104765,      1]])"
o.,"meritum listu o.Ludwika Wiśniewskiego o sytuacji w polskim Kościele.  Dominikanin <mask> Wiśniewski wystosował ten list do nuncjusza apostolskiego w Polsce, zatroskany m.",godzinę,godzina,"tensor([[ 66846,    606,   2602,    273,    259,    268,    260,    547,   2348,
         111933,   5469,  48959, 191844,    259,    268,   2060,    876,   6723,
            414,    259,  53171,    282,    259,  95557,   1094,    260,    259,
         197421,   1785,   1042,  55114,    669,   5469,  48959, 167575,   1628,
         160312,   2898,   3034,   2602,    342,    259,  13638,  13115,    745,
          92981,  44865,    414,  24408,    541,    261,    466,  61510,    502,
            276,    326,    260,      1]])","tensor([[29324,  1241,     1]])"
lęk.,"decyzji Trybunału Konstytucyjnego. - Ostatnia ciąża to był ciągły, paraliżujący <mask> Dziewięć miesięcy tortur po tym, co nas spotkało. Aneta była w 12. tygodniu ciąży,",wieku,wiek,"tensor([[   269,  41779,    976,  28729,  28301, 125115,   1590, 118846, 115484,
            260,    259,    264,    259,  62054,    539,    259,  41298,    262,
            288,    259,   7615,    259,  17093,   4430,    261,    435,    494,
           1610,  51657,   1042,  55114,    669, 116206, 181513,   1209,    259,
         102656,    276,  76474,    485,   4559,    261,    964,   1755,    259,
          53724,   4319,    260,    298,    900,    262,    259,   7615,    262,
            414,   5016,    259,  51226,    273,    259,  41298,    276,    261,
              1]])","tensor([[1968,  662,    1]])"
o.,"stanowczo protestuje przeciwko znieważaniu i szydzeniu w publicznych manifestacjach z <mask> Tadeusza Rydzyka, założyciela i redaktora naczelnego Radia Maryja i Telewizji Trwam",sekundy,sekunda,"tensor([[ 16195,    268, 112942,  21656,   1466,  36414,    704, 148340,  71227,
           9605,    259,    266,    259,  20092,    285,  97421,    414,  56243,
           3039,  16062, 136407,    397,   1042,  55114,    669,    366, 161289,
            745, 121882, 102146,    261,    259, 103325,  43025,    492,    259,
            266, 104505,    262,    294,  23784,  75553, 137269,  15255,    462,
            259,    266,    366,  86441,    976,   1830,  44724,      1]])","tensor([[25277,   276,     1]])"
s.,"urządzenia. Martwić może niezbyt pojemny akumulator, ale Xiaomi postawiło tutaj na <mask> Na prezentacji udało się naładować akumulator. To może robić wrażenie, ale z drugiej",bardzo dobry,bardzo dobry,"tensor([[   259,    273,  68150,    260,  12676,    481,   7155,    259,   4123,
            265,    716,  29683,    485,   5417,    680, 145147,    261,   1281,
            259,  23188,   1427, 137711,    268,  36558,    385,    294,   1042,
          55114,    669,    727,  10800,   6723,   2261,  32565,    947,    294,
         133640,   1209, 145147,    260,    926,    259,   4123,    265,  17738,
           1209,  57725,  46811,    261,   1281,    397,   4911,  12476,      1]])","tensor([[  330,  6838,   259, 67806,     1]])"
b.,"numerem jeden jest wicemarszałek woj. śląskiego Kazimierz Karolczak, tuż za nim <mask> marszałek województwa Michał Czarski, a na siódmym miejscu wiceprzewodniczący Związku",byłego,były,"tensor([[ 25595,    470,   9477,   1402,    259,  42358,   2696, 166988,    592,
          46285,    260,    259, 156203,   1088,  73415,  88430,  73671, 112923,
            261,    719,   1610,    466,  19753,   1042,  55114,    669,   1798,
         166988,    592,    259,  32208,  39821, 114128,    262,   1784, 111613,
         120269,  85239,    261,    259,    262,    294,    395,  30264,   1813,
            282,   8401,    273,    259,  42358, 112066, 109233,    736, 210071,
            273,      1]])","tensor([[  455, 49152,     1]])"
b.,"Donalda Tuska, był nieodporny na wpływy zewnętrzne, w tym na działania obcych służ<mask> W tym czasie nastąpiła „rezygnacja znacznej części elity z lojalności wobec państwa",sobota,sobota,"tensor([[ 20443,    262,   2313,   1855,    261,    259,   7615,    716, 215217,
            680,    294,    414,  36425,    276,    397,  51115,    265,    261,
            414,   4559,    294,  12711,   2069,    999, 136050,    259,  47991,
           2709,  55114,    669,    564,   4559,   7131,    634,    294,  41495,
           4005,    565,   5152,  84173,  12759,  46574,   2794,    259,  12381,
            362,   2302,    397,  47602,  31892,    414,  36451,    555,  50231,
              1]])","tensor([[  259, 41784,   262,     1]])"
się.,"WIDEO Jak wynika z badania, pozycja płci pięknej „w biznesowej pierwszej lidze” umacnia <mask> Odsetek kobiet na najwyższych stanowiskach wzrósł w tym roku do 40 proc., choć w ostatnich",suv.,suv.,"tensor([[ 38204,  71761,   5588,    259,  46938,    262,    397,   9368,    539,
            261,  67268,    262, 128378,    769,    259,  34757,   1057,    565,
            481,  25428,   6955,  13615,   1057,   5333,   1043,    365,   1355,
            297,   2069,   1042,  55114,    669,   3770,    263,  39692,  32750,
            294,   1895,  32259,   3039,    259,  19327,    263,  16267,  18640,
         129562,   2898,    414,   4559,   4351,    342,   1251,  14791,    260,
            261,    970,   1209,    414,  21752,   2623,      1]])","tensor([[47768,   260,     1]])"
Igę.,"komentując jej dziwnej prośby, zatrzymał się na poboczu i wyłączył silnik. Patrzył na <mask> Nie od razu zaczęła mówić. W jej oczach dostrzegł łzy. Chrząknął i zniecierpliwiony",bardzo,bardzo,"tensor([[ 30582,  31629,   6064,  14121, 128118,    731,   3376,   1027,    261,
            466,  65348,    947,    294,  63852,  64507,    259,    266,   1628,
          74100,   2898,  78718,    314,    260,  12529, 128593,    294,   1042,
          55114,    669,   4383,    682, 136753,  68011, 129270,    259,  18365,
           1209,    260,    564,   6064, 133058,   1483,    342, 126119,  56993,
            259,   2898,   2938,    260,   1536, 120093,    314,  83321,    259,
            266, 148340, 144934,    494,    481, 111650,      1]])","tensor([[ 330, 6838,    1]])"
o.,"zostanie powołana komisja, która zbada wypowiedzi o. Gużyńskiego.  Jak zaznacza <mask> Jarosław Głodek., w skład komisji wejdzie trzech dominikanów – są to wykładowcy",do spraw tak zwanej,do sprawy tak zwany,"tensor([[ 21308,   1145,    485,  82209,    377,  41102,    462,    261,    259,
           1743,    262,    397,  43613,   1628,  97537,    259,    268,    260,
           6875,   5318, 122104,    260,   5588,    466,  67948,   1042,  55114,
            669,  17076, 110688,    489,   4319,   9553,    260,    261,    414,
          23218,  41102,    976,    787,  99356,    259,    270, 113777, 105828,
            502,   1174,    322,   3395,    288,   1628, 156931,   2888,      1]])","tensor([[   342,  14601,    756,    397, 222932,      1]])"
